crop,market,district,modal_price,date
onion,Lasalgaon,Nashik,2171,2026-05-25
onion,Lasalgaon,Nashik,2131,2026-05-26
onion,Lasalgaon,Nashik,2123,2026-05-27
onion,Lasalgaon,Nashik,2111,2026-05-28
onion,Lasalgaon,Nashik,2096,2026-05-29
onion,Lasalgaon,Nashik,2070,2026-05-30
onion,Lasalgaon,Nashik,2040,2026-05-31
onion,Lasalgaon,Nashik,2066,2026-06-01
onion,Lasalgaon,Nashik,2034,2026-06-02
onion,Lasalgaon,Nashik,2066,2026-06-03
onion,Lasalgaon,Nashik,2077,2026-06-04
onion,Lasalgaon,Nashik,2038,2026-06-05
onion,Lasalgaon,Nashik,1998,2026-06-06
onion,Lasalgaon,Nashik,1966,2026-06-07
onion,Lasalgaon,Nashik,1950,2026-06-08
onion,Lasalgaon,Nashik,1936,2026-06-09
onion,Lasalgaon,Nashik,1957,2026-06-10
onion,Lasalgaon,Nashik,1991,2026-06-11
onion,Lasalgaon,Nashik,1951,2026-06-12
onion,Lasalgaon,Nashik,1979,2026-06-13
onion,Lasalgaon,Nashik,1961,2026-06-14
onion,Lasalgaon,Nashik,1987,2026-06-15
onion,Lasalgaon,Nashik,1997,2026-06-16
onion,Lasalgaon,Nashik,1982,2026-06-17
onion,Lasalgaon,Nashik,1996,2026-06-18
onion,Lasalgaon,Nashik,2028,2026-06-19
onion,Lasalgaon,Nashik,2020,2026-06-20
onion,Lasalgaon,Nashik,1988,2026-06-21
onion,Lasalgaon,Nashik,1976,2026-06-22
onion,Lasalgaon,Nashik,1998,2026-06-23
onion,Lasalgaon,Nashik,2009,2026-06-24
onion,Lasalgaon,Nashik,2012,2026-06-25
onion,Lasalgaon,Nashik,1999,2026-06-26
onion,Lasalgaon,Nashik,1994,2026-06-27
onion,Lasalgaon,Nashik,2005,2026-06-28
onion,Lasalgaon,Nashik,1986,2026-06-29
onion,Lasalgaon,Nashik,1965,2026-06-30
onion,Lasalgaon,Nashik,1981,2026-07-01
onion,Lasalgaon,Nashik,1961,2026-07-02
onion,Lasalgaon,Nashik,1974,2026-07-03
onion,Lasalgaon,Nashik,1986,2026-07-04
onion,Lasalgaon,Nashik,2031,2026-07-05
onion,Lasalgaon,Nashik,2032,2026-07-06
onion,Lasalgaon,Nashik,2005,2026-07-07
onion,Lasalgaon,Nashik,2031,2026-07-08
onion,Lasalgaon,Nashik,2067,2026-07-09
onion,Lasalgaon,Nashik,2050,2026-07-10
onion,Lasalgaon,Nashik,2066,2026-07-11
onion,Lasalgaon,Nashik,2044,2026-07-12
onion,Lasalgaon,Nashik,2082,2026-07-13
onion,Lasalgaon,Nashik,2087,2026-07-14
onion,Lasalgaon,Nashik,2135,2026-07-15
onion,Lasalgaon,Nashik,2182,2026-07-16
onion,Lasalgaon,Nashik,2196,2026-07-17
onion,Lasalgaon,Nashik,2237,2026-07-18
onion,Lasalgaon,Nashik,2229,2026-07-19
onion,Lasalgaon,Nashik,2205,2026-07-20
onion,Lasalgaon,Nashik,2178,2026-07-21
onion,Lasalgaon,Nashik,2175,2026-07-22
onion,Lasalgaon,Nashik,2180,2026-07-23
onion,Lasalgaon,Nashik,2158,2026-07-24
onion,Lasalgaon,Nashik,2155,2026-07-25
onion,Lasalgaon,Nashik,2135,2026-07-26
onion,Lasalgaon,Nashik,2141,2026-07-27
onion,Lasalgaon,Nashik,2134,2026-07-28
onion,Lasalgaon,Nashik,2150,2026-07-29
onion,Lasalgaon,Nashik,2154,2026-07-30
onion,Lasalgaon,Nashik,2132,2026-07-31
onion,Lasalgaon,Nashik,2137,2026-08-01
onion,Lasalgaon,Nashik,2140,2026-08-02
onion,Lasalgaon,Nashik,2124,2026-08-03
onion,Lasalgaon,Nashik,2116,2026-08-04
onion,Lasalgaon,Nashik,2083,2026-08-05
onion,Lasalgaon,Nashik,2118,2026-08-06
onion,Lasalgaon,Nashik,2097,2026-08-07
onion,Lasalgaon,Nashik,2123,2026-08-08
onion,Lasalgaon,Nashik,2112,2026-08-09
onion,Lasalgaon,Nashik,2090,2026-08-10
onion,Lasalgaon,Nashik,2107,2026-08-11
onion,Lasalgaon,Nashik,2113,2026-08-12
onion,Lasalgaon,Nashik,2105,2026-08-13
onion,Lasalgaon,Nashik,2134,2026-08-14
onion,Lasalgaon,Nashik,2120,2026-08-15
onion,Lasalgaon,Nashik,2119,2026-08-16
onion,Lasalgaon,Nashik,2084,2026-08-17
onion,Lasalgaon,Nashik,2071,2026-08-18
onion,Lasalgaon,Nashik,2033,2026-08-19
onion,Lasalgaon,Nashik,2031,2026-08-20
onion,Lasalgaon,Nashik,2040,2026-08-21
onion,Lasalgaon,Nashik,2032,2026-08-22
onion,Pune Market Yard,Pune,2165,2026-05-25
onion,Pune Market Yard,Pune,2149,2026-05-26
onion,Pune Market Yard,Pune,2178,2026-05-27
onion,Pune Market Yard,Pune,2175,2026-05-28
onion,Pune Market Yard,Pune,2159,2026-05-29
onion,Pune Market Yard,Pune,2179,2026-05-30
onion,Pune Market Yard,Pune,2186,2026-05-31
onion,Pune Market Yard,Pune,2201,2026-06-01
onion,Pune Market Yard,Pune,2176,2026-06-02
onion,Pune Market Yard,Pune,2166,2026-06-03
onion,Pune Market Yard,Pune,2140,2026-06-04
onion,Pune Market Yard,Pune,2128,2026-06-05
onion,Pune Market Yard,Pune,2156,2026-06-06
onion,Pune Market Yard,Pune,2181,2026-06-07
onion,Pune Market Yard,Pune,2171,2026-06-08
onion,Pune Market Yard,Pune,2202,2026-06-09
onion,Pune Market Yard,Pune,2213,2026-06-10
onion,Pune Market Yard,Pune,2244,2026-06-11
onion,Pune Market Yard,Pune,2252,2026-06-12
onion,Pune Market Yard,Pune,2255,2026-06-13
onion,Pune Market Yard,Pune,2240,2026-06-14
onion,Pune Market Yard,Pune,2214,2026-06-15
onion,Pune Market Yard,Pune,2236,2026-06-16
onion,Pune Market Yard,Pune,2256,2026-06-17
onion,Pune Market Yard,Pune,2224,2026-06-18
onion,Pune Market Yard,Pune,2187,2026-06-19
onion,Pune Market Yard,Pune,2158,2026-06-20
onion,Pune Market Yard,Pune,2145,2026-06-21
onion,Pune Market Yard,Pune,2193,2026-06-22
onion,Pune Market Yard,Pune,2181,2026-06-23
onion,Pune Market Yard,Pune,2203,2026-06-24
onion,Pune Market Yard,Pune,2247,2026-06-25
onion,Pune Market Yard,Pune,2223,2026-06-26
onion,Pune Market Yard,Pune,2240,2026-06-27
onion,Pune Market Yard,Pune,2256,2026-06-28
onion,Pune Market Yard,Pune,2300,2026-06-29
onion,Pune Market Yard,Pune,2327,2026-06-30
onion,Pune Market Yard,Pune,2362,2026-07-01
onion,Pune Market Yard,Pune,2362,2026-07-02
onion,Pune Market Yard,Pune,2400,2026-07-03
onion,Pune Market Yard,Pune,2369,2026-07-04
onion,Pune Market Yard,Pune,2351,2026-07-05
onion,Pune Market Yard,Pune,2387,2026-07-06
onion,Pune Market Yard,Pune,2389,2026-07-07
onion,Pune Market Yard,Pune,2400,2026-07-08
onion,Pune Market Yard,Pune,2382,2026-07-09
onion,Pune Market Yard,Pune,2387,2026-07-10
onion,Pune Market Yard,Pune,2410,2026-07-11
onion,Pune Market Yard,Pune,2398,2026-07-12
onion,Pune Market Yard,Pune,2424,2026-07-13
onion,Pune Market Yard,Pune,2392,2026-07-14
onion,Pune Market Yard,Pune,2393,2026-07-15
onion,Pune Market Yard,Pune,2425,2026-07-16
onion,Pune Market Yard,Pune,2415,2026-07-17
onion,Pune Market Yard,Pune,2447,2026-07-18
onion,Pune Market Yard,Pune,2428,2026-07-19
onion,Pune Market Yard,Pune,2476,2026-07-20
onion,Pune Market Yard,Pune,2482,2026-07-21
onion,Pune Market Yard,Pune,2514,2026-07-22
onion,Pune Market Yard,Pune,2559,2026-07-23
onion,Pune Market Yard,Pune,2552,2026-07-24
onion,Pune Market Yard,Pune,2539,2026-07-25
onion,Pune Market Yard,Pune,2554,2026-07-26
onion,Pune Market Yard,Pune,2532,2026-07-27
onion,Pune Market Yard,Pune,2559,2026-07-28
onion,Pune Market Yard,Pune,2584,2026-07-29
onion,Pune Market Yard,Pune,2542,2026-07-30
onion,Pune Market Yard,Pune,2576,2026-07-31
onion,Pune Market Yard,Pune,2575,2026-08-01
onion,Pune Market Yard,Pune,2595,2026-08-02
onion,Pune Market Yard,Pune,2555,2026-08-03
onion,Pune Market Yard,Pune,2527,2026-08-04
onion,Pune Market Yard,Pune,2531,2026-08-05
onion,Pune Market Yard,Pune,2528,2026-08-06
onion,Pune Market Yard,Pune,2516,2026-08-07
onion,Pune Market Yard,Pune,2481,2026-08-08
onion,Pune Market Yard,Pune,2469,2026-08-09
onion,Pune Market Yard,Pune,2499,2026-08-10
onion,Pune Market Yard,Pune,2467,2026-08-11
onion,Pune Market Yard,Pune,2435,2026-08-12
onion,Pune Market Yard,Pune,2455,2026-08-13
onion,Pune Market Yard,Pune,2421,2026-08-14
onion,Pune Market Yard,Pune,2447,2026-08-15
onion,Pune Market Yard,Pune,2421,2026-08-16
onion,Pune Market Yard,Pune,2395,2026-08-17
onion,Pune Market Yard,Pune,2413,2026-08-18
onion,Pune Market Yard,Pune,2441,2026-08-19
onion,Pune Market Yard,Pune,2420,2026-08-20
onion,Pune Market Yard,Pune,2411,2026-08-21
onion,Pune Market Yard,Pune,2436,2026-08-22
tomato,Nashik APMC,Nashik,1534,2026-05-25
tomato,Nashik APMC,Nashik,1545,2026-05-26
tomato,Nashik APMC,Nashik,1529,2026-05-27
tomato,Nashik APMC,Nashik,1555,2026-05-28
tomato,Nashik APMC,Nashik,1537,2026-05-29
tomato,Nashik APMC,Nashik,1533,2026-05-30
tomato,Nashik APMC,Nashik,1541,2026-05-31
tomato,Nashik APMC,Nashik,1545,2026-06-01
tomato,Nashik APMC,Nashik,1558,2026-06-02
tomato,Nashik APMC,Nashik,1581,2026-06-03
tomato,Nashik APMC,Nashik,1595,2026-06-04
tomato,Nashik APMC,Nashik,1567,2026-06-05
tomato,Nashik APMC,Nashik,1555,2026-06-06
tomato,Nashik APMC,Nashik,1540,2026-06-07
tomato,Nashik APMC,Nashik,1505,2026-06-08
tomato,Nashik APMC,Nashik,1505,2026-06-09
tomato,Nashik APMC,Nashik,1464,2026-06-10
tomato,Nashik APMC,Nashik,1496,2026-06-11
tomato,Nashik APMC,Nashik,1523,2026-06-12
tomato,Nashik APMC,Nashik,1509,2026-06-13
tomato,Nashik APMC,Nashik,1541,2026-06-14
tomato,Nashik APMC,Nashik,1526,2026-06-15
tomato,Nashik APMC,Nashik,1483,2026-06-16
tomato,Nashik APMC,Nashik,1449,2026-06-17
tomato,Nashik APMC,Nashik,1486,2026-06-18
tomato,Nashik APMC,Nashik,1450,2026-06-19
tomato,Nashik APMC,Nashik,1436,2026-06-20
tomato,Nashik APMC,Nashik,1412,2026-06-21
tomato,Nashik APMC,Nashik,1384,2026-06-22
tomato,Nashik APMC,Nashik,1394,2026-06-23
tomato,Nashik APMC,Nashik,1371,2026-06-24
tomato,Nashik APMC,Nashik,1404,2026-06-25
tomato,Nashik APMC,Nashik,1402,2026-06-26
tomato,Nashik APMC,Nashik,1405,2026-06-27
tomato,Nashik APMC,Nashik,1435,2026-06-28
tomato,Nashik APMC,Nashik,1430,2026-06-29
tomato,Nashik APMC,Nashik,1467,2026-06-30
tomato,Nashik APMC,Nashik,1451,2026-07-01
tomato,Nashik APMC,Nashik,1492,2026-07-02
tomato,Nashik APMC,Nashik,1533,2026-07-03
tomato,Nashik APMC,Nashik,1561,2026-07-04
tomato,Nashik APMC,Nashik,1560,2026-07-05
tomato,Nashik APMC,Nashik,1588,2026-07-06
tomato,Nashik APMC,Nashik,1608,2026-07-07
tomato,Nashik APMC,Nashik,1600,2026-07-08
tomato,Nashik APMC,Nashik,1580,2026-07-09
tomato,Nashik APMC,Nashik,1560,2026-07-10
tomato,Nashik APMC,Nashik,1583,2026-07-11
tomato,Nashik APMC,Nashik,1596,2026-07-12
tomato,Nashik APMC,Nashik,1618,2026-07-13
tomato,Nashik APMC,Nashik,1638,2026-07-14
tomato,Nashik APMC,Nashik,1665,2026-07-15
tomato,Nashik APMC,Nashik,1639,2026-07-16
tomato,Nashik APMC,Nashik,1619,2026-07-17
tomato,Nashik APMC,Nashik,1594,2026-07-18
tomato,Nashik APMC,Nashik,1613,2026-07-19
tomato,Nashik APMC,Nashik,1624,2026-07-20
tomato,Nashik APMC,Nashik,1605,2026-07-21
tomato,Nashik APMC,Nashik,1604,2026-07-22
tomato,Nashik APMC,Nashik,1596,2026-07-23
tomato,Nashik APMC,Nashik,1588,2026-07-24
tomato,Nashik APMC,Nashik,1624,2026-07-25
tomato,Nashik APMC,Nashik,1649,2026-07-26
